procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0     20 1806340 365912 4638408    0    0     0    12  150  225  0  0 100  0  0
 0  0     20 1806088 365920 4638348    0    0     0     8  158  238  0  0 100  0  0
 1  0     20 1782088 365928 4650216    0    0     0    85 1389 1114 28  4 68  0  0
 8  0     20 1719888 365936 4649712    0    0     0   226 3666 2530 66  9 24  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0     20 1670848 365944 4650056    0    0     0   130 4449 2615 74 11 16  0  0
 7  0     20 1683936 365952 4650328    0    0     0   188 4640 2631 74 11 15  0  0
 9  0     20 1701504 365960 4650556    0    0     0   127 4473 2726 76 11 13  0  0
 9  0     20 1627864 365968 4652280    0    0     0   124 3777 2524 80 11  9  0  0
 8  0     20 1631736 365976 4650960    0    0     0   154 2670 2345 85 12  3  0  0
 8  0     20 1630632 365984 4651612    0    0     0   124 2664 2306 83 11  5  0  0
 9  0     20 1720888 366000 4651380    0    0     0   229 2761 2457 83 12  5  0  0
 9  0     20 1625096 366008 4651520    0    0     0   152 2728 2418 84 12  4  0  0
 7  0     20 1660552 366016 4653196    0    0     0   132 2596 2317 80 11  8  0  0
 0  0     20 1790372 366024 4652504    0    0     0   134 2425 2262 68  9 22  0  0
 0  0     20 1786884 366032 4648644    0    0     0    58  171  225  0  0 100  0  0
 0  0     20 1786884 366040 4648652    0    0     0    66  115  184  0  0 100  0  0
 0  0     20 1786884 366048 4648656    0    0     0   100  131  167  0  0 100  0  0
 0  0     20 1786632 366056 4648788    0    0     0    14  123  171  0  0 100  0  0
 0  0     20 1786156 366064 4648796    0    0     0    13  124  174  0  0 100  0  0
 0  0     20 1785904 366072 4648772    0    0     0    14  146  245  0  0 100  0  0
25  0     20 1475856 366088 4651140    0    0     2    60 2049 1589 47  6 48  0  0
18  0     20 1493132 366096 4652776    0    0     0   155 4172 3122 87 11  2  0  0
17  0     20 1513832 366104 4655968    0    0     0   144 4511 3078 90 10  0  0  0
24  0     20 1348268 366112 4655232    0    0     0   258 4558 3257 89 11  0  0  0
23  0     20 1295176 366120 4653524    0    0     0   191 4813 3077 89 11  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
24  0     20 1367016 366128 4653764    0    0     0   203 2928 2985 89 11  0  0  0
20  0     20 1297304 366136 4654236    0    0     0   142 2775 2970 89 11  0  0  0
25  0     20 1283636 366144 4653980    0    0     0   194 4548 2891 89 12  0  0  0
25  0     20 1307536 366152 4657108    0    0     0   147 2782 3107 88 12  0  0  0
25  0     20 1275308 366160 4654472    0    0     0   181 2723 2932 89 11  0  0  0
25  0     20 1381832 366172 4658384    0    0     0   158 2765 3060 88 12  0  0  0
20  0     20 1398708 366176 4654796    0    0     0   229 2783 3072 88 12  0  0  0
24  0     20 1379596 366184 4658396    0    0     0   156 5724 2912 88 12  0  0  0
22  0     20 1319900 366192 4655408    0    0     0   166 3781 3047 88 12  0  0  0
